sentiment,text,user,
neutral,RT @tjhinfar21: Yg sibuk cetak bendera PKI lalu dibakar kelompok kalian\nYg sebar isu kebangkitan PKI kalian juga\nYg inget hari ultah PKI ka…,KurnadiD,
negative,"RT @HMSoeharto1921: Mencuatnya isu \Pak Harto PKI\"""," ke permukaan publik itu pertanda baik. Tanda kaum kiri kehabisan stok isu. Propaganda i…""",SemboyanRapuh
neutral,RT @vita_AVP: Segala daya dan upaya dilakukan utk mendiskreditkan presiden @jokowi dan keluarganya dng isu PKI. Tdk peduli dosa yg penting…,rofiqma_mun,
positive,"RT @menurutsaya2: @DwiWarnaNKRI @jokowi Oh sekarang habis isu pki skrg lsg pake istilah MAKZUL, good job kata bos lu !",ErnaZahra,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,abdl_rn28,
neutral,Sepak terjang orde bangkai dalam memanfaatkan isu PKI masih berlangsung hingga kini. https://t.co/X2jNIWR6qA,kimansu,
neutral,@SalmaBrecht Isu PKI ini permainan elite politik yg kepentingannya terganggu selama pak @jokowi menjadi President.… https://t.co/n9nK6m2HfR,NgkongRoses,
neutral,"@haikal_hassan Mau terakhir mau lanjut ya bodo amat. Tapi satu hal, ente musti harus bisa buktiin dimana PKI, kalau… https://t.co/ZhZDQxMOqf",new_ehsan,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",s_mulyatie,
neutral,RT @plato_ids: Waspada teruntuk umat islam jangan terpancing dengan isu yang hanya akan memanaskan situasi terkait Papua --selalu ingat pes…,Iseng57185173,
neutral,RT @DTanjung15: Apa kabar Jongos2 bayaran Keturunan Orba\nMereka Gobloknya minta Ampun\nSibuk menyebar isu PKi dan tampilkan atribut PKI\nTapi…,AndipanjaitanP,
neutral,RT @DTanjung15: Apa kabar Jongos2 bayaran Keturunan Orba\nMereka Gobloknya minta Ampun\nSibuk menyebar isu PKi dan tampilkan atribut PKI\nTapi…,coto_makasar_yk,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,su7loo,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",i_zuaf,
neutral,"RT @Musang157653933: Beredar isu bahwa Pak Harto dalang pki ?\nBOHONG !!!\n\n\WASPADA PEMUTAR BALIKAN FAKTA OLEH KOMUNIS GAYA BARU\""\n\nPKI HOBBY…""",CindarSetiawan,
neutral,@Berkarya_Info Apa kabar Jongos2 bayaran Keturunan PKI\nMereka Gobloknya minta Ampun\nSibuk membantah isu PKi tapi ta… https://t.co/gDKnLUpaBn,Perangaqidah,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,gunoto7,
neutral,"Isu pki... \nDendam kesumaat \oposisi\"" jatuhkan pak jokowi...? https://t.co/EGrDWJ3oW2""",ji_setya,
neutral,RT @plato_ids: Waspada teruntuk umat islam jangan terpancing dengan isu yang hanya akan memanaskan situasi terkait Papua --selalu ingat pes…,Ian26420,
neutral,RT @plato_ids: Waspada teruntuk umat islam jangan terpancing dengan isu yang hanya akan memanaskan situasi terkait Papua --selalu ingat pes…,Wex_58,
neutral,RT @vita_AVP: Segala daya dan upaya dilakukan utk mendiskreditkan presiden @jokowi dan keluarganya dng isu PKI. Tdk peduli dosa yg penting…,AmoureliaP,
negative,"RT @HMSoeharto1921: Mencuatnya isu \Pak Harto PKI\"""," ke permukaan publik itu pertanda baik. Tanda kaum kiri kehabisan stok isu. Propaganda i…""",AndreBagusSapu5
neutral,di tengah pendemi malah goreng isu pki #JKWTumbangRakyatSenang,TiknoOke,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",keenanrasi,
neutral,"@fadlizon PKI mang sdh pernah brXX mngkudeta NKRI. tu sejarah yg nyata. Tp zaman sekarang tu d NKRI, PKI sdh mandul… https://t.co/4Ti0W0gwNB",Rm_lndr4one4587,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,dirmanrdl,
neutral,RT @noeruzzaman: 3. PKI selalu jd isu tahunan bisanya 30 september atau kalau ada kepentingan politik tertentu dan semua org berani terbuka…,RomoDonnyR,
negative,"RT @noeruzzaman: 4. Sama2 anti neoliberal/kapitalisme dan selalu menggunakn isu ini sebagai propaganda. 5. Sudah di bubarkan dr NKRI, PKI m…",RomoDonnyR,
neutral,"RT @Namaku_Anisa: Jika isu PKI muncul, tanggapan mereka wah ini pesanan ORBA\nSaya maklumi itu sbb yg tumpas PKI kan Soeharto cs bersama rak…",naufal17aziz,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",indragiri313,
neutral,RT @ManafSamuel: @Dennysiregar7 @YLBHI @detikcom @tempodotco @kompascom @republikaonline @jokowi 1)Oposisi sj yg kehabisan topik narasi pro…,irsan_mohd,
neutral,@mas__piyuuu Wkwkwkw.. gorengannya abis.. kembali lg ke isu pki..,Tubagusganjar87,
